status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc,error
error,-2,False,True,-1.0,1.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,-2,True,True,-1.0,1.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,-1,False,True,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,True,True,-1.0,1.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,0,False,True,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,True,True,-1.0,1.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,1,False,True,-1.0,1.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,1,True,True,-1.0,1.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,-2,False,False,-1.0,1.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,-2,True,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,False,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,True,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,False,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,True,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,1,False,False,-1.0,1.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,1,True,False,-1.0,1.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-2,False,True,-1.0,10.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,-2,True,True,-1.0,10.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,-1,False,True,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,True,True,-1.0,10.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,0,False,True,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,True,True,-1.0,10.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,1,False,True,-1.0,10.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,1,True,True,-1.0,10.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,-2,False,False,-1.0,10.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,-2,True,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,False,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,True,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,False,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,0,True,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,1,False,False,-1.0,10.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,1,True,False,-1.0,10.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-2,False,True,-1.0,100.0,l1,gt,0,,,'Tensor' object has no attribute 'assert_'
error,-2,True,True,-1.0,100.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
error,-1,False,True,-1.0,100.0,l1,gt,0,,,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
error,-1,True,True,-1.0,100.0,l1,gt,0,,,'SymbolicSequential' object has no attribute 'weight'
