status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,3,True,False,-100.0,1.0,l1 l1n,ge,0,0.2019,0.9691
success,-7,True,True,-10.0,1.0,l1n,le,0,0.2019,0.9691
success,-7,True,True,-100.0,1.0,l1,gt,1,0.2019,0.9691
success,4,True,False,-100.0,1.0,l1 l1n,ge,0,0.2019,0.9691
success,-7,True,False,-1000.0,1.0,l1 l1n,ge,0,0.2019,0.9691
success,-7,True,False,-10.0,1.0,l1 l1n,gt,1,0.2019,0.9691
success,3,True,True,-1000.0,1.0,l1n,gt,0,0.2019,0.9691
success,-8,True,True,-10.0,1.0,l1n,gt,0,0.2019,0.9691
success,4,True,False,-100.0,1.0,l1 l1n,gt,1,0.2019,0.9691
success,4,True,False,-10.0,1.0,l1 l1n,ge,0,0.2019,0.9691
success,-7,True,False,-1000.0,1.0,l1 l1n,lt,0,0.2019,0.9691
success,-7,True,True,-1000.0,1.0,l1 l1n,gt,1,0.2019,0.9691
success,3,True,True,-10.0,1.0,l1n,lt,-1,0.2019,0.9691
success,-7,True,True,-10.0,1.0,l1,gt,0,0.2019,0.9691
success,-7,True,False,-10.0,1.0,l1 l1n,lt,0,0.2019,0.9691
success,4,True,True,-10.0,1.0,l1 l1n,gt,0,0.2019,0.9691
success,3,True,False,-100.0,1.0,l1n,lt,-5,0.2018,0.9691
success,4,True,True,-100.0,1.0,l1n,le,0,0.2018,0.9691
success,-7,True,False,-1000.0,1000.0,l1 linf,le,0,0.1992,0.9686
success,-8,True,False,-1000.0,1000.0,l1 linf,lt,-1,0.1992,0.9686
success,-7,True,False,-1000.0,1000.0,l1 l1n linf,gt,1,0.199,0.9686
success,4,True,True,-100.0,1000.0,l1 l1n linf,gt,0,0.199,0.9686
success,-7,True,True,-10.0,10.0,l1 linf,gt,0,0.199,0.9686
success,3,True,False,-100.0,10.0,l1 l1n linf,gt,5,0.199,0.9686
success,4,True,True,-1000.0,100.0,l1 l1n linf,gt,1,0.199,0.9686
success,-8,True,True,-10.0,10.0,l1 l1n linf,ge,0,0.199,0.9686
success,4,True,True,-100.0,1000.0,l1 l1n linf,gt,5,0.199,0.9686
success,4,True,True,-100.0,10.0,l1 l1n linf,ge,0,0.199,0.9686
success,-8,True,True,-1000.0,10.0,l1 l1n linf,lt,-1,0.199,0.9686
success,3,True,False,-10.0,100.0,l1 l1n linf,gt,1,0.199,0.9686
success,4,True,False,-1000.0,10.0,l1 linf,gt,5,0.199,0.9686
success,3,True,True,-100.0,100.0,l1 l1n linf,lt,-1,0.199,0.9686
success,-7,True,False,-100.0,10.0,l1 linf,gt,5,0.199,0.9686
success,3,True,False,-10.0,10.0,l1 l1n linf,lt,0,0.199,0.9686
success,-7,True,False,-100.0,10.0,l1 l1n linf,ge,0,0.199,0.9686
success,3,True,False,-1000.0,1000.0,l1 l1n linf,ge,0,0.199,0.9686
success,-8,True,False,-100.0,10.0,l1 linf,lt,-1,0.199,0.9686
success,3,True,False,-10.0,100.0,l1 l1n linf,lt,-5,0.199,0.9686
success,3,True,True,-100.0,10.0,l1 linf,lt,-1,0.199,0.9686
success,4,True,False,-100.0,1000.0,l1 linf,gt,1,0.199,0.9687
success,4,True,True,-10.0,1000.0,l1 l1n linf,ge,0,0.199,0.9686
success,3,True,False,-100.0,1000.0,l1 linf,le,0,0.199,0.9687
success,-8,True,True,-10.0,100.0,l1 l1n linf,lt,-1,0.199,0.9686
success,-8,True,False,-10.0,10.0,l1 linf,gt,0,0.199,0.9686
success,-8,True,False,-1000.0,100.0,l1 l1n linf,lt,-5,0.199,0.9686
success,-8,True,True,-10.0,1000.0,l1 l1n linf,gt,0,0.199,0.9686
success,-8,True,False,-100.0,100.0,l1 linf,gt,5,0.199,0.9686
success,3,True,False,-100.0,10.0,l1 linf,le,0,0.199,0.9686
success,-8,True,False,-10.0,10.0,l1 l1n linf,lt,0,0.199,0.9686
success,-8,True,True,-100.0,1000.0,l1 l1n linf,lt,0,0.199,0.9686
