status,num_batches,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,2,3,True,True,-1000.0,100.0,l1 l1n linf,gt,1,0.1647,0.956
success,1,2,True,True,-1000.0,100.0,l1 l1n linf,gt,1,0.158,0.9506
success,1,3,True,True,-1000.0,100.0,l1 l1n linf,gt,1,0.199,0.9686
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,1,-10,True,False,-1000.0,100.0,l1,gt,1,0.1519,0.9499
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,1,2,True,False,-1000.0,100.0,l1,gt,1,0.1519,0.9499
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,1,3,True,True,-0.1,100.0,l1 l1n linf,gt,1,0.169,0.9463
success,2,1,True,True,-1000.0,100.0,l1,gt,1,0.1866,0.9511
success,2,1,True,True,-1000.0,1.0,l1,gt,1,0.1777,0.9494
success,2,2,True,True,-1000.0,1.0,l1,gt,1,0.1777,0.9494
success,3,2,True,True,-1000.0,1.0,l1,lt,0,0.2307,0.937
success,2,2,True,True,-1000.0,1.0,l1,gt,5,0.1777,0.9494
success,2,2,True,True,-1000.0,1.0,l1,gt,5,0.1777,0.9494
success,2,2,True,True,-1000.0,1.0,l1,gt,5,0.1777,0.9494
success,3,1,True,True,-1000.0,1.0,l1,gt,5,0.2307,0.937
success,3,1,True,True,-1000.0,1.0,l1,gt,5,0.2307,0.937
success,3,4,True,True,-1000.0,1.0,l1 l1n,ge,0,0.2205,0.9321
success,3,4,True,True,-1000.0,1.0,l1 l1n,ge,0,0.2205,0.9321
success,3,4,True,True,-1000.0,1.0,l1 l1n,ge,0,0.2205,0.9321
success,3,3,True,True,-1000.0,10.0,l1 l1n,ge,0,0.2206,0.9221
success,3,4,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,3,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,3,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,3,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,4,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,4,True,True,-1.0,10.0,l1 l1n,ge,0,0.2219,0.9285
success,3,4,True,True,-1.0,10.0,l1 l1n,lt,-5,0.2219,0.9285
